,Date,Ticker,Open,High,Low,Close,Volume
0,2025-01-20,VHM,40.0,40.2,39.9,40.0,2996900
1,2025-01-21,VHM,40.0,40.15,39.8,40.0,4494600
2,2025-01-22,VHM,40.0,40.0,39.5,39.5,3640500
3,2025-01-23,VHM,39.55,39.95,39.25,39.5,4632800
4,2025-01-24,VHM,39.5,39.8,39.4,39.5,4838500
5,2025-02-04,VHM,38.95,39.15,38.55,38.75,6222400
6,2025-02-05,VHM,39.0,39.45,38.85,38.85,2719200
7,2025-02-06,VHM,39.0,39.2,38.8,38.8,2817600
8,2025-02-07,VHM,38.85,39.05,38.75,38.75,3013800
9,2025-02-10,VHM,38.7,38.75,37.8,37.8,5850900
10,2025-02-11,VHM,37.85,37.9,37.6,37.75,5898800
11,2025-02-12,VHM,37.8,38.3,37.8,38.0,3808700
12,2025-02-13,VHM,37.9,38.9,37.9,38.75,4922700
13,2025-02-14,VHM,38.95,39.05,38.75,38.8,4245600
14,2025-02-17,VHM,38.8,39.15,38.7,38.8,4038700
15,2025-02-18,VHM,38.9,39.2,38.85,38.9,3087100
16,2025-02-19,VHM,39.15,39.15,38.8,39.1,2932700
17,2025-02-20,VHM,39.2,40.8,39.15,40.55,11106700
18,2025-02-21,VHM,40.7,40.7,40.25,40.3,3893300
19,2025-02-24,VHM,40.1,40.3,39.95,40.25,4771900
20,2025-02-25,VHM,40.3,41.25,40.3,40.75,5566600
21,2025-02-26,VHM,40.8,40.9,40.5,40.7,4187200
22,2025-02-27,VHM,40.75,41.15,40.6,41.05,6360000
23,2025-02-28,VHM,41.05,41.6,40.85,41.2,8394500
24,2025-03-03,VHM,41.3,42.55,41.2,42.55,9467900
25,2025-03-04,VHM,42.55,43.15,42.05,42.05,11264800
26,2025-03-05,VHM,42.05,43.0,42.05,42.7,10682200
27,2025-03-06,VHM,42.85,43.6,42.85,43.6,11952800
28,2025-03-07,VHM,43.6,45.75,43.3,44.95,17823300
29,2025-03-10,VHM,45.0,45.8,44.7,45.3,12066400
30,2025-03-11,VHM,44.6,45.55,44.2,45.5,12103400
31,2025-03-12,VHM,45.4,47.3,45.4,46.95,15641200
32,2025-03-13,VHM,47.0,49.55,46.55,47.8,22269900
33,2025-03-14,VHM,47.7,48.9,47.7,47.9,16861700
34,2025-03-17,VHM,47.95,48.0,46.8,47.8,11017800
35,2025-03-18,VHM,47.6,48.75,46.8,47.3,12239500
36,2025-03-19,VHM,46.8,47.9,46.25,47.35,13442500
37,2025-03-20,VHM,47.35,48.2,46.95,47.35,13458400
38,2025-03-21,VHM,47.1,48.4,47.1,48.25,13695700
39,2025-03-24,VHM,48.45,51.4,48.35,51.3,15552100
40,2025-03-25,VHM,51.9,52.5,51.1,51.5,12918800
41,2025-03-26,VHM,51.8,52.2,50.2,51.5,9611000
42,2025-03-27,VHM,51.5,51.7,50.5,51.2,7904300
43,2025-03-28,VHM,51.1,51.9,50.7,51.2,8166000
44,2025-03-31,VHM,51.2,51.6,51.0,51.3,9374200
45,2025-04-01,VHM,51.8,53.5,51.5,53.0,11851000
46,2025-04-02,VHM,53.2,53.6,52.6,53.0,10657600
47,2025-04-03,VHM,50.3,51.6,49.3,49.3,23521900
48,2025-04-04,VHM,46.1,50.6,46.1,50.3,21595400
49,2025-04-08,VHM,48.7,49.5,46.8,47.0,21438100
50,2025-04-09,VHM,45.6,48.8,45.6,48.5,15153600
51,2025-04-10,VHM,51.8,51.8,51.8,51.8,752100
52,2025-04-11,VHM,51.8,53.7,51.0,53.5,14557800
53,2025-04-14,VHM,54.0,57.2,53.7,57.2,16827300
54,2025-04-15,VHM,57.9,60.5,57.2,57.5,15962600
55,2025-04-16,VHM,57.0,57.9,55.0,56.5,10845000
56,2025-04-17,VHM,56.0,56.8,54.8,56.8,6338100
57,2025-04-18,VHM,56.8,57.0,53.3,55.0,13530600
58,2025-04-21,VHM,54.1,55.4,53.4,55.0,7721400
59,2025-04-22,VHM,55.0,58.0,52.4,57.5,10732600
60,2025-04-23,VHM,58.2,58.5,57.0,58.5,10647900
61,2025-04-24,VHM,58.5,61.8,57.6,61.2,12662600
62,2025-04-25,VHM,61.0,62.5,60.1,62.3,11381200
63,2025-04-28,VHM,62.1,62.1,58.5,58.5,7393800
64,2025-04-29,VHM,58.5,58.8,57.0,58.4,4737800
65,2025-05-05,VHM,58.6,61.4,58.6,60.9,6070700
66,2025-05-06,VHM,61.0,61.7,60.5,60.9,4955900
67,2025-05-07,VHM,60.4,62.4,60.2,62.0,5073600
68,2025-05-08,VHM,62.2,63.4,61.5,62.2,8829200
69,2025-05-09,VHM,62.2,62.8,61.6,62.2,6170600
70,2025-05-12,VHM,62.2,62.8,61.8,62.3,5743300
71,2025-05-13,VHM,62.0,62.5,60.9,62.0,6806700
72,2025-05-14,VHM,61.7,62.0,60.4,60.4,6555600
73,2025-05-15,VHM,60.2,60.3,57.1,58.0,17963700
74,2025-05-16,VHM,57.6,59.0,57.4,58.0,7352000
75,2025-05-19,VHM,58.1,60.6,58.1,58.8,5269600
76,2025-05-20,VHM,59.6,62.9,59.6,62.9,21911900
77,2025-05-21,VHM,67.3,67.3,65.3,67.3,14973300
78,2025-05-22,VHM,66.9,71.0,66.8,68.1,10234400
79,2025-05-23,VHM,68.6,69.8,67.3,68.8,7306800
